hours,Wind,Solar
124,0.45,0
125,0.45,0
126,0.4,0
127,0.4,0.1
128,0.4,0.2
129,0.4,0.3
130,0.35,0.5
131,0.35,0.6
132,0.3,0.75
133,0.3,0.9
134,0.3,0.7
135,0.25,0.6
136,0.25,0.5
137,0.2,0.4
138,0.15,0.3
139,0.2,0.1
140,0.2,0
141,0.3,0
142,0.4,0
143,0.5,0
144,0.75,0
145,0.6,0
146,0.5,0
147,0.45,0
148,0.45,0
149,0.45,0
150,0.4,0
151,0.4,0.1
152,0.4,0.2
153,0.4,0.3
154,0.35,0.5
155,0.35,0.6
156,0.3,0.75
157,0.3,0.9
158,0.3,0.7
159,0.25,0.6
160,0.25,0.5
161,0.2,0.4
162,0.15,0.3
163,0.2,0.1
164,0.2,0
165,0.3,0
166,0.4,0
167,0.5,0
168,0.75,0
169,0.6,0
170,0.5,0
171,0.45,0
172,0.45,0
173,0.45,0
174,0.4,0
175,0.4,0.1
176,0.4,0.2
177,0.4,0.3
178,0.35,0.5
179,0.35,0.6
180,0.3,0.75
181,0.3,0.9
182,0.3,0.7
183,0.25,0.6
184,0.25,0.5
185,0.2,0.4
186,0.15,0.3
187,0.2,0.1
188,0.2,0
189,0.3,0
190,0.4,0
191,0.5,0
192,0.75,0
193,0.6,0
194,0.5,0
195,0.45,0
196,0.45,0
197,0.45,0
198,0.4,0
199,0.4,0.1
200,0.4,0.2
201,0.4,0.3
202,0.35,0.5
203,0.35,0.6
204,0.3,0.75
205,0.3,0.9
206,0.3,0.7
207,0.25,0.6
208,0.25,0.5
209,0.2,0.4
210,0.15,0.3
211,0.2,0.1
212,0.2,0
213,0.3,0
214,0.4,0
215,0.5,0
216,0.75,0
217,0.6,0
218,0.5,0
219,0.45,0
220,0.45,0
221,0.45,0
222,0.4,0
223,0.4,0.1
224,0.4,0.2
225,0.4,0.3
226,0.35,0.5
227,0.35,0.6
228,0.3,0.75
229,0.3,0.9
230,0.3,0.7
231,0.25,0.6
232,0.25,0.5
233,0.2,0.4
234,0.15,0.3
235,0.2,0.1
236,0.2,0
237,0.3,0
238,0.4,0
239,0.5,0
240,0.75,0
241,0.6,0
242,0.5,0
243,0.45,0
244,0.45,0
245,0.45,0
246,0.4,0
247,0.4,0.1
248,0.4,0.2
249,0.4,0.3
250,0.35,0.5
251,0.35,0.6
252,0.3,0.75
253,0.3,0.9
254,0.3,0.7
255,0.25,0.6
256,0.25,0.5
257,0.2,0.4
258,0.15,0.3
259,0.2,0.1
260,0.2,0
261,0.3,0
262,0.4,0
263,0.5,0
264,0.75,0
265,0.6,0
266,0.5,0
267,0.45,0
268,0.45,0
269,0.45,0
270,0.4,0
271,0.4,0.1
272,0.4,0.2
273,0.4,0.3
274,0.35,0.5
275,0.35,0.6
276,0.3,0.75
277,0.3,0.9
278,0.3,0.7
279,0.25,0.6
280,0.25,0.5
281,0.2,0.4
282,0.15,0.3
283,0.2,0.1
284,0.2,0
285,0.3,0
286,0.4,0
287,0.5,0
288,0.75,0
289,0.6,0
290,0.5,0
291,0.45,0
292,0.45,0
293,0.45,0
294,0.4,0
295,0.4,0.1
296,0.4,0.2
297,0.4,0.3
298,0.35,0.5
299,0.35,0.6
300,0.3,0.75
301,0.3,0.9
302,0.3,0.7
303,0.25,0.6
304,0.25,0.5
305,0.2,0.4
306,0.15,0.3
307,0.2,0.1
308,0.2,0
309,0.3,0
310,0.4,0
311,0.5,0
312,0.75,0
313,0.6,0
314,0.5,0
315,0.45,0
316,0.45,0
317,0.45,0
318,0.4,0
319,0.4,0.1
320,0.4,0.2
321,0.4,0.3
322,0.35,0.5
323,0.35,0.6
324,0.3,0.75
325,0.3,0.9
326,0.3,0.7
327,0.25,0.6
328,0.25,0.5
329,0.2,0.4
330,0.15,0.3
331,0.2,0.1
332,0.2,0
333,0.3,0
334,0.4,0
335,0.5,0
336,0.75,0
337,0.6,0
338,0.5,0
339,0.45,0
340,0.45,0
341,0.45,0
342,0.4,0
343,0.4,0.1
344,0.4,0.2
345,0.4,0.3
346,0.35,0.5
347,0.35,0.6
348,0.3,0.75
349,0.3,0.9
350,0.3,0.7
351,0.25,0.6
352,0.25,0.5
353,0.2,0.4
354,0.15,0.3
355,0.2,0.1
356,0.2,0
357,0.3,0
358,0.4,0
359,0.5,0
360,0.75,0
361,0.6,0
362,0.5,0
363,0.45,0
364,0.45,0
365,0.45,0
366,0.4,0
367,0.4,0.1
368,0.4,0.2
369,0.4,0.3
370,0.35,0.5
371,0.35,0.6
372,0.3,0.75
373,0.3,0.9
374,0.3,0.7
375,0.25,0.6
376,0.25,0.5
377,0.2,0.4
378,0.15,0.3
379,0.2,0.1
380,0.2,0
381,0.3,0
382,0.4,0
383,0.5,0
384,0.75,0
385,0.6,0
386,0.5,0
387,0.45,0
388,0.45,0
389,0.45,0
390,0.4,0
391,0.4,0.1
392,0.4,0.2
393,0.4,0.3
394,0.35,0.5
395,0.35,0.6
396,0.3,0.75
397,0.3,0.9
398,0.3,0.7
399,0.25,0.6
400,0.25,0.5
401,0.2,0.4
402,0.15,0.3
403,0.2,0.1
404,0.2,0
405,0.3,0
406,0.4,0
407,0.5,0
408,0.75,0
409,0.6,0
410,0.5,0
411,0.45,0
412,0.45,0
413,0.45,0
414,0.4,0
415,0.4,0.1
416,0.4,0.2
417,0.4,0.3
418,0.35,0.5
419,0.35,0.6
420,0.3,0.75
421,0.3,0.9
422,0.3,0.7
423,0.25,0.6
424,0.25,0.5
425,0.2,0.4
426,0.15,0.3
427,0.2,0.1
428,0.2,0
429,0.3,0
430,0.4,0
431,0.5,0
432,0.75,0
433,0.6,0
434,0.5,0
435,0.45,0
436,0.45,0
437,0.45,0
438,0.4,0
439,0.4,0.1
440,0.4,0.2
441,0.4,0.3
442,0.35,0.5
443,0.35,0.6
444,0.3,0.75
445,0.3,0.9
446,0.3,0.7
447,0.25,0.6
448,0.25,0.5
449,0.2,0.4
450,0.15,0.3
451,0.2,0.1
452,0.2,0
453,0.3,0
454,0.4,0
455,0.5,0
456,0.75,0
457,0.6,0
458,0.5,0
459,0.45,0
460,0.45,0
461,0.45,0
462,0.4,0
463,0.4,0.1
464,0.4,0.2
465,0.4,0.3
466,0.35,0.5
467,0.35,0.6
468,0.3,0.75
469,0.3,0.9
470,0.3,0.7
471,0.25,0.6
472,0.25,0.5
473,0.2,0.4
474,0.15,0.3
475,0.2,0.1
476,0.2,0
477,0.3,0
478,0.4,0
479,0.5,0
480,0.75,0
481,0.6,0
482,0.5,0
483,0.45,0
484,0.45,0
485,0.45,0
486,0.4,0
487,0.4,0.1
488,0.4,0.2
489,0.4,0.3
490,0.35,0.5
491,0.35,0.6
492,0.3,0.75
493,0.3,0.9
494,0.3,0.7
495,0.25,0.6
496,0.25,0.5
497,0.2,0.4
498,0.15,0.3
499,0.2,0.1
500,0.2,0
501,0.3,0
502,0.4,0
503,0.5,0
504,0.75,0
505,0.6,0
506,0.5,0
507,0.45,0
508,0.45,0
509,0.45,0
510,0.4,0
511,0.4,0.1
512,0.4,0.2
513,0.4,0.3
514,0.35,0.5
515,0.35,0.6
516,0.3,0.75
517,0.3,0.9
518,0.3,0.7
519,0.25,0.6
520,0.25,0.5
521,0.2,0.4
522,0.15,0.3
523,0.2,0.1
524,0.2,0
525,0.3,0
526,0.4,0
527,0.5,0
528,0.75,0
529,0.6,0
530,0.5,0
531,0.45,0
532,0.45,0
533,0.45,0
534,0.4,0
535,0.4,0.1
536,0.4,0.2
537,0.4,0.3
538,0.35,0.5
539,0.35,0.6
540,0.3,0.75
541,0.3,0.9
542,0.3,0.7
543,0.25,0.6
544,0.25,0.5
545,0.2,0.4
546,0.15,0.3
547,0.2,0.1
548,0.2,0
549,0.3,0
550,0.4,0
551,0.5,0
552,0.75,0
553,0.6,0
554,0.5,0
555,0.45,0
556,0.45,0
557,0.45,0
558,0.4,0
559,0.4,0.1
560,0.4,0.2
561,0.4,0.3
562,0.35,0.5
563,0.35,0.6
564,0.3,0.75
565,0.3,0.9
566,0.3,0.7
567,0.25,0.6
568,0.25,0.5
569,0.2,0.4
570,0.15,0.3
571,0.2,0.1
572,0.2,0
573,0.3,0
574,0.4,0
575,0.5,0
576,0.75,0
577,0.6,0
578,0.5,0
579,0.45,0
580,0.45,0
581,0.45,0
582,0.4,0
583,0.4,0.1
584,0.4,0.2
585,0.4,0.3
586,0.35,0.5
587,0.35,0.6
588,0.3,0.75
589,0.3,0.9
590,0.3,0.7
591,0.25,0.6
592,0.25,0.5
593,0.2,0.4
594,0.15,0.3
595,0.2,0.1
596,0.2,0
597,0.3,0
598,0.4,0
599,0.5,0
600,0.75,0
601,0.6,0
602,0.5,0
603,0.45,0
604,0.45,0
605,0.45,0
606,0.4,0
607,0.4,0.1
608,0.4,0.2
609,0.4,0.3
610,0.35,0.5
611,0.35,0.6
612,0.3,0.75
613,0.3,0.9
614,0.3,0.7
615,0.25,0.6
616,0.25,0.5
617,0.2,0.4
618,0.15,0.3
619,0.2,0.1
620,0.2,0
621,0.3,0
622,0.4,0
623,0.5,0
624,0.75,0
625,0.6,0
626,0.5,0
627,0.45,0
628,0.45,0
629,0.45,0
630,0.4,0
631,0.4,0.1
632,0.4,0.2
633,0.4,0.3
634,0.35,0.5
635,0.35,0.6
636,0.3,0.75
637,0.3,0.9
638,0.3,0.7
639,0.25,0.6
640,0.25,0.5
641,0.2,0.4
642,0.15,0.3
643,0.2,0.1
644,0.2,0
645,0.3,0
646,0.4,0
647,0.5,0
648,0.75,0
649,0.6,0
650,0.5,0
651,0.45,0
652,0.45,0
653,0.45,0
654,0.4,0
655,0.4,0.1
656,0.4,0.2
657,0.4,0.3
658,0.35,0.5
659,0.35,0.6
660,0.3,0.75
661,0.3,0.9
662,0.3,0.7
663,0.25,0.6
664,0.25,0.5
665,0.2,0.4
666,0.15,0.3
667,0.2,0.1
668,0.2,0
669,0.3,0
670,0.4,0
671,0.5,0
672,0.75,0
673,0.6,0
674,0.5,0
675,0.45,0
676,0.45,0
677,0.45,0
678,0.4,0
679,0.4,0.1
680,0.4,0.2
681,0.4,0.3
682,0.35,0.5
683,0.35,0.6
684,0.3,0.75
685,0.3,0.9
686,0.3,0.7
687,0.25,0.6
688,0.25,0.5
689,0.2,0.4
690,0.15,0.3
691,0.2,0.1
692,0.2,0
693,0.3,0
694,0.4,0
695,0.5,0
696,0.75,0
697,0.6,0
698,0.5,0
699,0.45,0
700,0.45,0
701,0.45,0
702,0.4,0
703,0.4,0.1
704,0.4,0.2
705,0.4,0.3
706,0.35,0.5
707,0.35,0.6
708,0.3,0.75
709,0.3,0.9
710,0.3,0.7
711,0.25,0.6
712,0.25,0.5
713,0.2,0.4
714,0.15,0.3
715,0.2,0.1
716,0.2,0
717,0.3,0
718,0.4,0
719,0.5,0
720,0.75,0
721,0.6,0
722,0.5,0
723,0.45,0
724,0.45,0
725,0.45,0
726,0.4,0
727,0.4,0.1
728,0.4,0.2
729,0.4,0.3
730,0.35,0.5
731,0.35,0.6
732,0.3,0.75
733,0.3,0.9
734,0.3,0.7
735,0.25,0.6
736,0.25,0.5
737,0.2,0.4
738,0.15,0.3
739,0.2,0.1
740,0.2,0
741,0.3,0
742,0.4,0
743,0.5,0
744,0.75,0
